Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/11 2:46:19 AM GMT,user61,Phd Student,University,,,,,,,,,,,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,SILAC analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,pFind,,,,,,,,,,,,,,,,In house pipeline.,"DIA-SIFT for SILAC only (Haynes, Sarah E., Jaimeen D. Majmudar, and Brent R. Martin. ""DIA-SIFT: A precursor and product ion filter for accurate stable isotope data-independent acquisition proteomics."" Analytical chemistry 90.15 (2018): 8722-8726.)",Comet;MSFragger,,,,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,,,,,,
2019/02/11 6:25:25 AM GMT,user62,CEO,"Company, Start-up, Pharma",,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda,,,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/11 7:02:08 AM GMT,user63,Research Scientist - Staff,Research Institute,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,X!Tandem;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/11 7:50:05 AM GMT,user64,Post-Doc;Project Manager,"Hospital, Research Hospital",,,,,,,,SILAC analysis;SWATH / DIA Quant,,SILAC analysis;Label Free Analysis MS1;Other Quant analysis,,,,,,Label Free Analysis MS1;Other Quant analysis,,,,Other Quant analysis,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda;Mascot,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,
2019/02/11 7:55:56 AM GMT,user65,Post-Doc,Research Institute,,,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,Label Free Analysis MS1,Label Free Analysis MS1,Label Free Analysis MS1,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,MSstats;Perseus,,Andromeda;Mascot,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,
2019/02/11 8:02:20 AM GMT,user66,Principal Investigator,"Company, Start-up, Pharma",,,,,,,,SWATH / DIA Quant;Other Quant analysis;Label Free Spectral Count Analysis,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus;R,,Andromeda;MSFragger;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Protein Characterisation,,,Normal Peptide/Protein identification;ProteoGenomics;Protein Characterisation,,,,,,,,,,,,,
2019/02/11 8:15:22 AM GMT,user67,Phd Student,University,,Other Quant analysis,,,,,,,,,,,,,,Label Free Spectral Count Analysis,,,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,In house pipeline.,,Mascot,,,,,,,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 8:18:06 AM GMT,user68,Phd Student,Research Institute,,,Label Free Analysis MS1,,,,,Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,Label Free Analysis MS1,,TMT analysis;Phospho Quant analysis;Label Free Spectral Count Analysis,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,MSnbase;In house pipeline.,,X!Tandem;MSGF+;MSAmanda;MSFragger;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,Analytical/Bioinformatics methods development;Protein Characterisation,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 8:28:07 AM GMT,user69,Research Scientist - Staff;Project Manager;Director,Core Facility,,,,,,,,Other Quant analysis,,SILAC analysis;Label Free Analysis MS1,,,,,,Phospho Quant analysis;Label Free Spectral Count Analysis,,,Label Free Analysis MS1,Label Free Analysis MS1;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,
2019/02/11 8:28:51 AM GMT,user70,Principal Investigator;Developer - Bioinformatician;Professor,University,,,SWATH / DIA Quant,,,,,,,,,,,,,,,SWATH / DIA Quant,,,,,,Quandenser: https://www.biorxiv.org/content/10.1101/488015v1,,,,,,,,,,,,,,,,Triqler,http://www.mcponline.org/content/mcprot/early/2018/11/27/mcp.RA118.001018.full.pdf,MSGF+;Crux,,,,,,,,,,,,,,,,,,,,,
2019/02/11 8:48:40 AM GMT,user71,Post-Doc,"Hospital, Research Hospital",,,,,,,,Other Quant analysis,,Label Free Analysis MS1,,,,,,Label Free Analysis MS1;Phospho Quant analysis,,,Label Free Analysis MS1,Label Free Analysis MS1,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,edgeR,,X!Tandem;Andromeda;Mascot,,,,,Normal Peptide/Protein identification,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 9:01:59 AM GMT,user72,Developer - Bioinformatician,University,,,,,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,Comet;Mascot;Sequest,,Protein Characterisation,,,Protein Characterisation,Analytical/Bioinformatics methods development,,,,,,,Protein Characterisation,,,,,,,,
2019/02/11 9:22:47 AM GMT,user73,Phd Student,University,,TMT analysis;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limma,,Comet;MSGF+,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,,,,,,,
2019/02/11 9:22:51 AM GMT,user74,Post-Doc,University,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Limma,mzTab2report https://github.com/ProteomicsScripts/ProteomicsScripts/tree/master/mzTab2report,X!Tandem;MSGF+;MSFragger,,,,Normal Peptide/Protein identification,,,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/11 9:26:21 AM GMT,user75,Phd Student,Research Institute,,,SWATH / DIA Quant,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,Label Free Analysis MS1,,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,Perseus;Excel,,Andromeda,,,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/11 9:26:30 AM GMT,user76,Research Scientist - Staff,"Company, Start-up, Pharma",,Other Quant analysis,Other Quant analysis,Other Quant analysis,,,,,,,,,,,,,,,Label Free Analysis MS1,Label Free Analysis MS1,,,,"Mostly I have used commercial software for quantitation. With freeware I always wonder why it is difficult to obtain the area under the curve measurement. It was alway intensity which was measured when we analysed 13C labeled metabolomics data. Is it due to profile to centroid conversion, we loose information during which affects quantitation?    https://www.ncbi.nlm.nih.gov/m/pubmed/26639619/,  http://emzed.ethz.ch    ",,,,,,,,,,,,,,,,MSnbase,,Mascot,,,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 9:30:41 AM GMT,user77,Research Scientist - Staff,Core Facility,,,,,,,,Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus;Prostar,http://www.prostar-proteomics.org/,Andromeda;MSAmanda;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 9:46:19 AM GMT,user78,Research Scientist - Staff,University,,,,,,,,,,,,,,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;Mascot;RAId https://www.ncbi.nlm.nih.gov/CBBresearch/Yu/raid/index.html,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 9:48:43 AM GMT,user79,Developer - Bioinformatician;Phd Student,Research Institute,,Label Free Analysis MS1;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X!Tandem;Comet,,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,,,,,,,,
2019/02/11 9:54:19 AM GMT,user80,Post-Doc,University,,SILAC analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSGF+,,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,,
2019/02/11 9:55:13 AM GMT,user81,Research Scientist - Staff,"Company, Start-up, Pharma",,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,TMT analysis;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,,,,,,,,,,,,
2019/02/11 9:59:15 AM GMT,user82,Phd Student,Research Institute,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,TMT analysis,,,,,,,,,,,,,,,,,,,Perseus,,MSGF+;Andromeda;Mascot,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 10:16:24 AM GMT,user83,Research Scientist - Staff,University,,,,,,,,SWATH / DIA Quant,,Label Free Analysis MS1,,,,,,,,SWATH / DIA Quant,Label Free Analysis MS1,,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,Andromeda;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,
2019/02/11 10:23:17 AM GMT,user84,Research Scientist - Staff,Core Facility,,,,,,,,Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,MSstats;Limma;Perseus,,X!Tandem;Comet;MSGF+;Andromeda;MSAmanda;MSFragger;Mascot;Sequest,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 10:45:48 AM GMT,user85,Developer - Bioinformatician,Core Facility,,,Label Free Spectral Count Analysis,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,Other Quant analysis,,,,,Label Free Spectral Count Analysis,,SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,Label Free Analysis MS1;Other Quant analysis,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,In house pipeline.;Limma;Perseus;edgeR,,X!Tandem;Comet;Andromeda;MSFragger;Mascot;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 11:12:12 AM GMT,user86,Master Student,University,,,,,,,,,,,,,,,,,,,Label Free Analysis MS1,,TMT analysis,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,Perseus,,,,,,,,,,,,,,,,,,,,,,,
2019/02/11 1:26:48 PM GMT,user87,Post-Doc,University,,,,,,Label Free Spectral Count Analysis,,,,Label Free Spectral Count Analysis,,TMT analysis,,,,,,SWATH / DIA Quant;Phospho Quant analysis,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,Perseus,,Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,,,,,,,,,
2019/02/11 1:29:55 PM GMT,user88,Phd Student,University,Other Quant analysis,,,,,,,SWATH / DIA Quant;Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,SWATH / DIA Quant,Label Free Analysis MS1;Phospho Quant analysis,Label Free Analysis MS1;Phospho Quant analysis,TMT analysis,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,Perseus,,MSGF+;MSFragger;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 1:36:28 PM GMT,user89,Principal Investigator,University,,,,,,,,Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perseus,,Andromeda;Mascot,,,,,Phospho proteomics analysis,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics,,,,,,,,
2019/02/11 1:36:45 PM GMT,user90,Research Scientist - Staff,Research Institute,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,SWATH / DIA Quant,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,TMT analysis,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,http://proteom.ibb.waw.pl/index.en.html,,,,,,,,,,,,,,,,MSstats;In house pipeline.;Perseus,,X!Tandem;Andromeda;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,Normal Peptide/Protein identification,Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,
2019/02/11 1:41:23 PM GMT,user91,Head proteomics research platform,Research Institute,,,,,,,,Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,SWATH / DIA Quant,,,TMT analysis;Phospho Quant analysis,,,pFind studion,,,,,,,,,,,,,,,,In house pipeline.;Limma;Perseus,,Andromeda;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/11 1:55:50 PM GMT,user92,Principal Investigator,"Company, Start-up, Pharma",,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,SWATH / DIA Quant;Other Quant analysis,,,,,,,,,,,,Label Free Spectral Count Analysis,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,Perseus;Proteome discoverer quant,,MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification;ProteoGenomics,,,,,,,,,,Phospho proteomics analysis,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,,
2019/02/11 1:58:49 PM GMT,user93,Phd Student,Research Institute,,SWATH / DIA Quant,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,SILAC analysis,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/11 2:07:23 PM GMT,user94,Research Scientist - Staff,University,,,,,,,,Label Free Analysis MS1,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,Perseus,,Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,,,,,,,,,,,,
2019/02/11 3:05:02 PM GMT,user95,Director,"Company, Start-up, Pharma",,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;MSGF+;Andromeda,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/11 3:05:08 PM GMT,user96,Phd Student,University,,,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis,,,,,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,Perseus,,Sequest;Byonic,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,,,,,,,,,,,,
2019/02/11 3:09:46 PM GMT,user97,Principal Investigator;Director,University,,Label Free Analysis MS1,,,,,,,,SILAC analysis;Phospho Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X!Tandem;MSGF+;OMSSA;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
2019/02/11 3:15:08 PM GMT,user98,Post-Doc,University,,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,TMT analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,TMT analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,MSstats;In house pipeline.;Limma,,Comet;MSFragger,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,,,
2019/02/11 3:47:50 PM GMT,user99,Research Scientist - Staff,Research Institute,,,,,,,,SWATH / DIA Quant;Other Quant analysis,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,In house pipeline.;Perseus,,X!Tandem;Andromeda;MSAmanda;Mascot;Sequest,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,,,
2019/02/11 3:47:55 PM GMT,user100,Post-Doc,Research Institute,,,TMT analysis;Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,Label Free Analysis MS1,Label Free Spectral Count Analysis,,,,,,,,,,,,,https://github.com/statisticalbiotechnology/diffacto,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;Comet;MSGF+;Andromeda;MSFragger;https://bitbucket.org/levitsky/identipy,,,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,Normal Peptide/Protein identification;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,Option 1
2019/02/11 4:09:29 PM GMT,user101,Research Scientist - Staff,University,,,,,,,,SILAC analysis;Label Free Analysis MS1,,SILAC analysis;Label Free Analysis MS1,,,,,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,Label Free Analysis MS1,,SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,,,,,,,,,,Limma;Perseus,,Andromeda;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,Normal Peptide/Protein identification,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,
2019/02/11 4:43:48 PM GMT,user102,Post-Doc,University,,,,,,,,Label Free Analysis MS1;Other Quant analysis,,Label Free Analysis MS1,,,,,,,,,,,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,MSstats,,Andromeda;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,,
